route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
14,4,10304,15 Esquimalt - Fort/Yates Exp,,0,66249,62,0,0
14,4,10305,15 Esquimalt - Fort/Yates Exp,,0,66333,62,0,0
14,4,10306,15 Esquimalt - Fort/Yates Exp,,0,66349,62,0,0
14,7,10307,15 Esquimalt - Fort/Yates Exp,,0,65780,62,0,0
14,4,10308,15 Esquimalt - Fort/Yates Exp,,0,66192,62,0,0
14,4,10309,15 Esquimalt - Fort/Yates Exp,,0,66215,62,0,0
14,10,10310,15 Esquimalt - Fort/Yates Exp,,0,65644,62,0,0
14,7,10311,15 Esquimalt - Fort/Yates Exp,,0,65810,62,0,0
14,2,10312,15 Esquimalt - Fort/Yates Exp,,0,65609,62,0,0
14,2,10313,15 Esquimalt - Fort/Yates Exp,,0,65559,62,0,0
14,2,10314,15 Esquimalt - Fort/Yates Exp,,0,65561,62,0,0
14,7,10315,15 Esquimalt - Fort/Yates Exp,,0,65862,62,0,0
14,2,10316,15 Esquimalt - Fort/Yates Exp,,0,65509,62,0,0
14,5,10317,15 Esquimalt - Fort/Yates Exp,,0,64417,62,0,0
14,3,10318,15 Esquimalt - Fort/Yates Exp,,0,64602,62,0,0
14,10,10319,15 Esquimalt - Fort/Yates Exp,,0,65662,62,0,0
14,10,10320,15 Esquimalt - Fort/Yates Exp,,0,65663,62,0,0
14,2,10321,15 Esquimalt - Fort/Yates Exp,,0,65576,62,0,0
14,10,10322,15 Esquimalt - Fort/Yates Exp,,0,65644,62,0,0
14,2,10323,15 Esquimalt - Fort/Yates Exp,,0,65628,62,0,0
14,2,10324,15 Esquimalt - Fort/Yates Exp,,0,65628,62,0,0
14,10,10325,15 Esquimalt - Fort/Yates Exp,,0,65644,62,0,0
14,4,10326,15 Esquimalt - Fort/Yates Exp,,0,66476,62,0,0
14,4,10327,15 Esquimalt - Fort/Yates Exp,,0,66410,62,0,0
14,8,10328,15 Esquimalt - Fort/Yates Exp,,0,66535,62,0,0
14,8,10329,15 Esquimalt - Fort/Yates Exp,,0,66567,62,0,0
14,8,10330,15 Esquimalt - Fort/Yates Exp,,0,66576,62,0,0
14,3,10331,15 Esquimalt - Fort/Yates Exp,,0,64882,62,0,0
14,7,10332,15 Esquimalt - Fort/Yates Exp,,0,65777,62,0,0
14,3,10333,15 Esquimalt - Fort/Yates Exp,,0,64799,62,0,0
14,3,10334,15 Esquimalt - Fort/Yates Exp,,0,64751,62,0,0
14,4,10335,15 Esquimalt - Fort/Yates Exp,,0,66324,62,0,0
14,4,10336,15 Esquimalt - Fort/Yates Exp,,0,66527,62,0,0
14,8,10337,15 Esquimalt - Fort/Yates Exp,,0,66536,62,0,0
14,8,10338,15 Esquimalt - Fort/Yates Exp,,0,66536,62,0,0
14,8,10339,15 Esquimalt - Fort/Yates Exp,,0,66552,62,0,0
14,5,10340,15 Esquimalt - Fort/Yates Exp,,0,64255,62,0,0
14,8,10341,15 Esquimalt - Fort/Yates Exp,,0,66609,62,0,0
14,8,10342,15 Esquimalt - Fort/Yates Exp,,0,66620,62,0,0
14,8,10343,15 Esquimalt - Fort/Yates Exp,,0,66643,62,0,0
14,8,10344,15 Esquimalt - Fort/Yates Exp,,0,66566,62,0,0
14,8,10345,15 Esquimalt - Fort/Yates Exp,,0,66584,62,0,0
14,8,10346,15 Esquimalt - Fort/Yates Exp,,0,66586,62,0,0
14,6,10347,15 Esquimalt - Fort/Yates Exp,,0,66108,62,0,0
14,10,10348,15 Esquimalt - Fort/Yates Exp,,0,65679,62,0,0
14,5,10349,15 Esquimalt - Fort/Yates Exp,,0,64278,62,0,0
14,5,10350,15 Esquimalt - Fort/Yates Exp,,0,64417,62,0,0
14,10,10351,15 Esquimalt - Fort/Yates Exp,,0,65713,62,0,0
14,6,10352,15 Esquimalt - Fort/Yates Exp,,0,66099,62,0,0
14,6,10353,15 Esquimalt - Fort/Yates Exp,,0,66158,62,0,0
14,4,10354,15 Esquimalt - Fort/Yates Exp,,0,66235,62,0,0
14,4,10355,15 Esquimalt - Fort/Yates Exp,,0,66405,62,0,0
14,4,10356,15 Esquimalt - Fort/Yates Exp,,0,66404,62,0,0
14,4,10357,15 Esquimalt - Fort/Yates Exp,,0,66405,62,0,0
14,4,10358,15 Esquimalt - Fort/Yates Exp,,0,66457,62,0,0
14,8,10359,15 Esquimalt - Fort/Yates Exp,,0,66621,62,0,0
14,8,10360,15 Esquimalt - Fort/Yates Exp,,0,66605,62,0,0
14,5,10361,15 Esquimalt - Fort/Yates Exp,,0,64332,62,0,0
14,5,10362,15 Esquimalt - Fort/Yates Exp,,0,64298,62,0,0
14,4,10363,15 Esquimalt - Fort/Yates Exp,,0,66525,62,0,0
14,4,10364,15 Esquimalt - Fort/Yates Exp,,0,66461,62,0,0
14,8,10365,15 Esquimalt - Fort/Yates Exp,,0,66561,62,0,0
14,8,10366,15 Esquimalt - Fort/Yates Exp,,0,66561,62,0,0
14,8,10367,15 Esquimalt - Fort/Yates Exp,,0,66584,62,0,0
14,8,10368,15 Esquimalt - Fort/Yates Exp,,0,66552,62,0,0
